Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
105,0.598401,0.59855,-1.197101,0.489090724,0.179138022,0.774637717,-0.017504158,-0.004265719,0.022064065
106,-1.196951,1.197101,0,0.490555046,0.172792559,0.769268502,-0.017504158,-0.004265719,0.022064065
107,0.59855,-0.598551,0.59855,0.478840367,0.180114271,0.760482365,-0.018092533,-0.004559907,0.02147569
108,-1.1971,0.598551,0,0.477864118,0.176209378,0.781959429,-0.018092533,-0.004559907,0.02147569
109,0.59855,0,-0.59855,0.486650153,0.175233129,0.776590214,-0.018092533,-0.004559907,0.02147569
110,0,0.59855,0,0.487626402,0.18109052,0.771709072,-0.018386721,-0.004118625,0.021769877
111,0,0.598551,0,0.493483792,0.188900306,0.7844,-0.018386721,-0.004118625,0.021769877
112,-0.59855,0,-0.598551,0.490555046,0.174744954,0.77854261,-0.018386721,-0.004118625,0.021769877
113,0.59855,1.1971,0,0.487626402,0.184507238,0.77512579,-0.018386721,-0.004118625,0.021769877
114,-1.197101,1.197101,-0.59855,0.483721509,0.175721203,0.779518858,-0.017651252,-0.004412813,0.021622783
115,0,1.197101,-0.598551,0.489578899,0.179626096,0.769268502,-0.017651252,-0.004412813,0.021622783
116,0.598551,0.598551,-0.59855,0.488114475,0.170840061,0.761946789,-0.017651252,-0.004412813,0.021622783
117,0,0,0,0.487626402,0.170351988,0.773173394,-0.017651252,-0.004412813,0.021622783
118,-0.598551,0,-0.59855,0.487138328,0.175721203,0.778054536,-0.018533814,-0.004854094,0.021622783
119,0.598551,-0.598551,0,0.479816514,0.174256881,0.761946789,-0.018533814,-0.004854094,0.021622783
120,0,0,0.59855,0.487626402,0.173768807,0.776590214,-0.018533814,-0.004854094,0.021622783
121,0,0,0,0.48616208,0.173280632,0.780495107,-0.018533814,-0.004854094,0.021622783
122,0.59855,0,0.59855,0.48860265,0.1776737,0.78098318,-0.018092533,-0.003383157,0.022211158
123,0,0,0,0.490066972,0.180602345,0.77854261,-0.018092533,-0.003383157,0.022211158
124,-1.197101,-0.59855,-0.59855,0.48860265,0.176209378,0.776102039,-0.018092533,-0.003383157,0.022211158
125,0,0.59855,-0.59855,0.48860265,0.177185525,0.774637717,-0.018680908,-0.003824438,0.021328596
126,0.598551,0,0.59855,0.483721509,0.184995413,0.780007034,-0.018680908,-0.003824438,0.021328596
127,-0.598551,0,1.795651,0.486650153,0.170840061,0.758529969,-0.018680908,-0.003824438,0.021328596
128,-0.59855,-0.59855,0.598551,0.492507543,0.180114271,0.762434862,-0.018680908,-0.003824438,0.021328596
129,0,0,-0.598551,0.485185831,0.178161774,0.760482365,-0.017945439,-0.003971532,0.021769877
130,0,-1.197101,-0.59855,0.48616208,0.175233129,0.770244648,-0.017945439,-0.003971532,0.021769877
131,1.795651,0,-0.598551,0.47932844,0.170351988,0.781959429,-0.017945439,-0.003971532,0.021769877
132,0,0,0,0.483721509,0.167423242,0.769756575,-0.017945439,-0.003971532,0.021769877
133,0,0.59855,-0.59855,0.48860265,0.170840061,0.779030785,-0.017798346,-0.003971532,0.021328596
134,0.59855,0,-0.59855,0.481769011,0.178649949,0.78098318,-0.017798346,-0.003971532,0.021328596
135,-0.59855,0,1.1971,0.490555046,0.177185525,0.762434862,-0.017798346,-0.003971532,0.021328596
136,1.196951,0,0,0.480304689,0.174256881,0.774637717,-0.017798346,-0.003971532,0.021328596
137,0,0,0,0.486650153,0.176209378,0.775613965,-0.018533814,-0.003677344,0.022064065
